,Role,Tags,Additional
0,3D Graphics Driver Developer,"[' C/C++', ' 3D Graphics']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}"
1,Administrator Serwerów Aplikacyjnych Web,"[' Java', ' Oracle WebLogic', ' Oracle Application Server', ' JBoss', ' MS IIS', ' Tomcat', ' Apache', ' IBM WebSphere', ' Windows Server/Linux', ' Active Directory', ' Microsoft Exchange', ' Hyper-V', ' VMWARE', ' Microsoft System Center', ' Windows PowerShell', ' Bash']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
2,Administrator Systemów IT,"[' Windows Server(2008/2012/2016)', ' MSSQL', ' sql, cmd, bat, vbs', ' Linux(RedHat/Suse/Centos)', ' MS SQL, PostgreSQL, Oracle']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
3,AEM Administrator,"[' Linux', ' Apache', ' AEM', ' Apache SOLR', ' Apache HTTP', ' Bamboo', ' English', ' German']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
4,Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' RxJava', ' Retrofit', ' Gradle', ' Firebase', ' JSON', ' android', ' Android Studio', ' Dagger 2', ' English', ' Communication skills', ' Problem solving', ' Espresso', ' Mockito', ' GraphQL', ' Flutter SDK', ' Android Jetpack', ' Dart', ' JUnit']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-01-20 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (5000 PLN) ', ' Freedom to choose tools ': ' Yes '}"
5,Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' Retrofit', ' Gradle', ' android', ' English', ' Team player', ' Problem solving', ' Proactivity', ' iOS', ' Jenkins', ' Firebase', ' SQL', ' Swift', ' Communication skills', ' Leadership skills']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
6,Android Developer,"[' Java', ' Kotlin', ' android']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
7,Android Developer,"[' Java', ' Kotlin', ' RxJava', ' android', ' Android Studio', ' IntelliJ IDEA', ' Google Play', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Marathon', ' Docker', ' Consul', ' Bitbucket', ' Bamboo']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
8,Android Developer,"[' Java', ' Kotlin', ' RxJava', ' Retrofit', ' android', ' MVP', ' English', ' Polish', ' Team player', ' Git', ' Gradle', ' Firebase', ' SQL', ' JSON']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
9,Android Developer,"[' REST', ' android', ' Android SDK', ' OOP', ' SQLite', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Java', ' Kotlin', ' Android NDK']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}"
10,Android Developer,"[' Java', ' android', ' Spring', ' Linux', ' Oracle DB', ' Mathematics', ' English', ' Team player', ' Critical thinking', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
11,Android Developer,"[' Java', ' Git', ' REST', ' Gradle', ' Firebase', ' android', ' Android SDK', ' Android Studio', ' Kotlin', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' 80 % ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
12,Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' RxJava', ' Dagger', ' Retrofit', ' Gradle', ' MVVM', ' android', ' English', ' Polish', ' Jenkins', ' C++', ' Espresso', ' Mockito']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
13,Android Developer,"[' Java', ' Git', ' REST', ' android', ' English', ' Team player', ' Communication skills', ' Kotlin', ' iOS', ' Swift']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}"
14,Android Developer,"[' Java', ' Kotlin', ' Git', ' Jenkins', ' Android', ' Mobile Engineering', ' Android Studio', ' REST APIs / JSON', ' GitHub', ' Espresso', ' Mockito', ' JIRA', ' Dagger2', ' RxJava2', ' Retrofit2', ' UI', ' JUnit', ' Confluence', ' Slack']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}"
15,Android Developer,"[' Java', ' Kotlin', ' Git', ' Jenkins', ' android', ' Mobile Engineering', ' Android Studio', ' REST APIs / JSON', ' GitHub', ' Espresso', ' Mockito', ' JIRA', ' Dagger2', ' RxJava2', ' Retrofit2', ' UI', ' JUnit', ' Confluence', ' Slack']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (5000 PLN) ', ' Freedom to choose tools ': ' No '}"
16,Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' Gradle', ' SQL', ' android', ' SOAP', ' English', ' Polish', ' Dagger', ' Retrofit', ' iOS', ' MVVM', ' uml', ' Android Architecture Components', ' Realm', ' CI/CD', ' Leadership skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
17,Android Developer,"[' Java', ' Kotlin', ' android', ' Team player', ' Problem solving', ' RxJava', ' Gradle', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
18,Android Developer,"[' Java', ' Kotlin', ' Android', ' iOS', ' React Native']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
19,Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' RxJava', ' Dagger', ' Retrofit', ' Gradle', ' android', ' Polish', ' Communication skills', ' MVVM', ' English', ' Team player', ' Leadership skills', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +2 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
20,Android Engineer,"[' Java', ' Git', ' RxJava', ' Dagger', ' Retrofit', ' Gradle', ' android', ' unit test', ' English', ' Critical thinking', ' Problem solving', ' SOLID', ' Kotlin', ' Espresso', ' Kotlin coroutines', ' GraphQL']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
21,Android - Program. testów automatycznych,"[' Java', ' RxJava', ' android', ' English', ' Appium', ' Calabash']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' 95 % ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
22,Android Software Developer,"[' Java', ' Kotlin', ' Git', ' Gradle', ' android', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' RxJava', ' Dagger', ' Retrofit', ' C++', ' JSON', ' MVVM']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
23,Android Software Developer,"[' Java', ' Kotlin', ' Git', ' Gradle', ' android', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' RxJava', ' Dagger', ' Retrofit', ' C++', ' JSON', ' MVVM']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
24,Angular Developer,"[' Angular', ' JavaScript', ' CSS', ' TypeScript', ' Git', ' Sass', ' Bootstrap', ' Karma', ' RxJS', ' English', ' Communication skills', ' JSF', ' PrimeFaces', ' SQL', ' Leadership skills']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
25,Angular Developer,"[' Angular', ' JavaScript', ' TypeScript', ' Git', ' Karma', ' RxJS', ' Jasmine', ' Cypress', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-01-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
26,Angular Developer,"[' JavaScript', ' Git', ' CSS', ' HTML', ' Sass', ' web applications', ' Angular6+', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
27,Angular Developer,"[' Angular', ' JavaScript', ' TypeScript', ' Git', ' ASP.NET', ' .NET Core', ' T-SQL', ' OOP', ' ASP.NET Core Web API']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
28,Angular Developer,"[' Angular', ' CSS', ' HTML']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
29,API Support Specialist,"[' SQL', ' Microsoft', ' API submissions', ' 2/3rd line support', ' JSON', ' XML', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' API management', ' DevOps mindset', ' Integration knowledge', ' CI/CD', ' Jenkins', ' Spanish language basics']","{' Start ': ' 2020-02-03 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
30,Application Support Consultant,"[' SQL', ' Oracle', ' java', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Windows Server', ' ITIL Foundation', ' Hibernate', ' Wildfly']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
31,Application Support Engineer,"[' Linux', ' SQL', ' Shell', ' oracle', ' pl/sql', ' English', ' Team player', ' Problem solving', ' Proactivity', ' Unix', ' Networks']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
32,Application Support Engineer,"[' Linux', ' SQL', ' Shell', ' oracle', ' pl/sql', ' English', ' Team player', ' Problem solving', ' Proactivity', ' Unix', ' Networks']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
33,Application Support Engineer,"[' English', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Linux', ' SQL', ' jira', ' ITIL', ' Polish']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
34,Application Support Engineer,"[' English', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Linux', ' SQL', ' jira', ' ITIL', ' Polish']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
35,Application Tester,"[' Database', ' DBA', ' sql', ' Jira', ' English', ' Polish', ' Team player', ' Communication skills', ' Problem solving', ' JavaScript', ' PHP', ' HTML', ' Selenium']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': '', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
36,Architekt Angular JS,"[' Angular', ' JavaScript', ' English', ' Polish', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
37,ASP.NET Architect,"[' JavaScript', ' .NET', ' ASP.NET', ' mvc']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
38,Asp.net Developer,"[' JavaScript', ' .NET', ' ASP.NET', ' mvc', ' TypeScript', ' nosql', ' devops', ' scrum']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
39,ASP.NET Software Developer,"[' .NET', ' MVC', ' C#', ' Razor', ' AngularJS', ' Azure', ' Angular', ' jQuery', ' React', ' .NET Core', ' Xamarin', ' Unity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
40,Associate Consultant-SDK Mobile,"[' Swift', ' Objective-C', ' ios', ' English', ' Xcode', ' Android']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-02-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' A lot ', ' Freedom to choose tools ': ' No '}"
41,Associate Consultant-SDK Web,"[' Java', ' REST', ' Java EE', ' HTML', ' Spring', ' Hibernate', ' JavaScript', ' Angular', ' React', ' jQuery']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': '', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' A lot ', ' Freedom to choose tools ': ' No '}"
42,Audio Algorithm & Optimisation Engineer,"[' C++', ' c', ' DSP', ' fix-point arithmetic', ' assembler', ' embedded', ' English', ' Python', ' machine learning', ' Team player', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
43,Automation Engineer,"[' Python', ' Blue Prism', ' Linux/Windows', ' English', ' 5+ years of experience', ' Bash', ' Pearl']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
44,Automation Test Engineer,"[' Python', ' JIRA', ' Jenkins', ' Linux', ' Embedded Testing', ' Automation Testing', ' Gitlab', ' Good understanding of Agile development', ' C++', ' Team player', ' Communication skills', ' Problem solving', ' ""Can do"" Attitude', ' Ability to travel when needed']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
45,Automation Tester,"[' jira', ' Python']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
46,Automation Tester,"[' Java', ' Maven', ' SOAP / REST', ' SQL', ' Selenium WebDriver', ' English', ' AspectJS', ' Cucumber', ' JavaScript', ' ProtractorJS', ' Jasmine', ' Jenkins / TeamCity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
47,AutoML Software Engineer,"[' Scala', ' Akka', ' Spark', ' Hadoop', ' English', ' clean code', ' Docker', ' Python', ' jenkins', ' devops', ' machine learning']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
48,Azure Cloud Automation Ninja,"[' Docker', ' Azure', ' Azure DevOps', ' Automation Scripts', ' sql server', ' Windows server', ' Microsoft Azure PaaS', ' Powershell', ' test', ' English', ' Team player', ' Python', ' Puppet', ' ITIL', ' Communication skills']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
49,Azure Cloud Engineer,"[' sql', ' MS Cloud services', ' VMWare', ' Hyper-V', ' vNets', ' Subnets', ' S2S VPN', ' Migrations', ' Backup', ' Monitoring', ' Automation', ' Governance', ' Dynamics 365', ' AD/ADFS', ' Windows', ' Azure', ' Power BI', ' SharePoint Online', ' English', ' Polish', ' Problem solving', ' Sales skills', ' AZ-103', ' AZ-300', ' MS-900', ' MS-101']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
50,Backend Developer,"[' PostgreSQL', ' sql', ' BigQuery', ' redis', ' nest.js', ' aws', ' Express', ' typescript', ' English', ' docker', ' kubernetes', ' RabbitMQ']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
51,Backend Developer,"[' PHP', ' MySQL', ' Git', ' REST', ' HTML&CSS', ' JavaScript', ' Bootstrap', ' jQuery', ' CSS', ' HTML', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' sense of humor', ' Docker', ' RabbitMQ', ' Elasticsearch', ' Redis', ' Sass', ' vue.js', ' SocketCluster', ' node.js', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
52,Backend Developer,"[' PHP', ' MySQL', ' Symfony', ' Git', ' RabbitMQ', ' Solutions oriented', ' Nerds are welcome', ' English', ' Team player', ' Communication skills', ' Responsible']","{' Start ': ' 2020-01-02 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
53,Backend Developer,"[' Java', ' Git', ' REST', ' Jenkins', ' SQL', ' Docker', ' Linux', ' English', ' Polish', ' Critical thinking', ' Problem solving', ' Proactivity', ' PostgreSQL', ' Team player', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
54,Backend Developer,"[' .NET', ' Delphi', ' .Net Core', ' Rest API', ' ms sql', ' Serviceoriented architecture', ' English', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
55,Backend Developer,"[' Java', ' Spring', ' Jenkins', ' Docker', ' AWS', ' TDD', ' Kafka', ' English', ' Team player', ' Agile', ' NoSQL', ' Scala', ' python', ' typescript', ' CI/CD', ' React', ' React.Native', ' Communication skills', ' Critical thinking', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': '', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
56,Backend Developer,"[' SQL', ' REST', ' Web Applications', ' English', ' PostgreSQL', ' AWS', ' ruby', ' elixir']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': '', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
