,Role,Tags,Additional
1039,Remote DevOps Engineer,"[' Linux', ' Docker', ' AWS', ' Ansible', ' Jenkins', ' Terraform', ' Kubernetes', ' Bash', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
1040,Remote DevOps Engineer,"[' Docker', ' AWS', ' Ansible', ' Jenkins', ' Git', ' Puppet', ' Terraform', ' Kubernetes', ' CI/CD', ' Chef', ' English', ' Python', ' java']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
1041,Remote DevOps Engineer,"[' Linux', ' AWS', ' Ansible', ' Terraform', ' Kubernetes', ' Helm', ' Packer', ' English', ' microservices', ' Immutable Infrastructure', ' CI/CD', ' GITLab CI', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
1042,Remote DevOps Engineer,"[' Linux', ' Docker', ' AWS', ' Ansible', ' Jenkins', ' Virtualization', ' Continuous Integration', ' English', ' Polish', ' Team player', ' Communication skills', ' Proactivity', ' Personal blog', ' Conference / meetup speaker', ' Open-source contributor', ' Pet-project', ' Blockchain', ' Apache Kafka', ' Cassandra', ' Cloud deployment']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes ', ' Remote work ': None}"
1043,Remote DevOps Engineer,"[' Jenkins', ' Kubernetes', ' Azure Devops', ' CircleCi', ' CI / CD', ' SaaS', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Terraform', ' Typescript', ' MongoDB', ' NodeJS', ' Polish']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
1044,Remote DevOps Specialist,"[' Python', ' Ansible', ' Kafka', ' RHCSA', ' Bash', ' Git', ' Terraform', ' Azure', ' Nagios', ' Jira', ' YAML', ' Jinja', ' AWS or Azure', ' Vagrant', ' TCP/IP', ' Confluent', ' ITIL', ' Scrum/Kanban', ' Team player', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-02-03 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
1045,Remote Frontend Developer,"[' HTML&CSS', ' JavaScript', ' PHP', ' jQuery', ' aws', ' English', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
1046,Remote Frontend Developer,"[' JavaScript', ' TypeScript', ' Clean and testable code', ' Software Architecture patterns', ' English', ' Polish', ' Team player', ' Communication skills', ' Proactivity', ' 3+ years of commercial experience', ' Angular', ' React', ' CSS', ' HTML', ' vue.js', ' Personal blog', ' Conference / meetup speaker', ' Open-source contributor', ' Pet-project']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes ', ' Remote work ': None}"
1047,Remote Full-Stack Angular/Java Developer,"[' Angular', ' JavaScript', ' TypeScript', ' REST', ' Bootstrap', ' Java', ' SQL Server', ' English', ' Polish', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Sass', ' Node', ' Docker', ' Springboot', ' Hibernate', ' MongoDB', ' Kubernetes', ' AWS']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-02-03 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
1048,Remote Full-Stack Angular/Java Developer,"[' Angular', ' JavaScript', ' TypeScript', ' REST', ' Bootstrap', ' Java', ' SQL Server', ' English', ' Polish', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Sass', ' Node', ' Docker', ' Springboot', ' Hibernate', ' MongoDB', ' Kubernetes', ' AWS']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-02-03 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
